verse,ar,en
,وَالتِّينِ وَالزَّيْتُونِ,By the fig and the olive
,وَطُورِ سِينِينَ,And [by] Mount Sinai
,وَهَذَا الْبَلَدِ الْأَمِينِ,"And [by] this secure city [i.e., Makkah],"
,لَقَدْ خَلَقْنَا الْإِنسَنَ فِى أَحْسَنِ تَقْوِيمٍ,We have certainly created man in the best of stature;
,ثُمَّ رَدَدْنَهُ أَسْفَلَ سَفِلِينَ,"Then We return him to the lowest of the low,"
,إِلَّا الَّذِينَ ءَامَنُوا وَعَمِلُوا الصَّلِحَتِ فَلَهُمْ,"Except for those who believe and do righteous deeds, for they"
,فَلَهُمْ أَجْرٌ غَيْرُ مَمْنُونٍ,for they will have a reward uninterrupted.
,فَمَا يُكَذِّبُكَ بَعْدُ بِالدِّينِ,So what yet causes you to deny the Recompense?
,أَلَيْسَ اللَّهُ بِأَحْكَمِ الْحَكِمِينَ,Is not Allah the most just of judges?
