verse,ar,en
,إِنَّنِى أَنَا اللَّهُ لَا إِلَهَ إِلَّا أَنَا,"Indeed, I am Allah. There is no deity except Me,"
,فَاعْبُدْنِى وَأَقِمِ الصَّلَوةَ لِذِكْرِى,so worship Me and establish prayer for My remembrance.
,إِنَّ السَّاعَةَ ءَاتِيَةٌ أَكَادُ أُخْفِيهَا,"Indeed, the Hour is coming - I almost conceal it -"
,لِتُجْزَى كُلُّ نَفْسٍ بِمَا تَسْعَى,so that every soul may be recompensed according to that for which it strives.
,فَلَا يَصُدَّنَّكَ عَنْهَا,So do not let one avert you from it
,مَن لَّا يُؤْمِنُ بِهَا وَاتَّبَعَ هَوَىهُ,"who does not believe in it and follows his desire,"
,فَتَرْدَى,for you [then] would perish.
