verse,ar,en,timestamps
12:86,قَالَ إِنَّمَا أَشْكُوا بَثِّى وَحُزْنِى إِلَى اللَّهِ,"He said, ""I only complain of my suffering and my grief to Allah,",0:00.418
,قَالَ إِنَّمَا أَشْكُوا بَثِّى وَحُزْنِى إِلَى اللَّهِ,"He said, ""I only complain of my suffering and my grief to Allah,",0:11.560
,وَأَعْلَمُ مِنَ اللَّهِ مَا لَا تَعْلَمُونَ,and I know from Allah that which you do not know.,0:21.800
,,,0:28.407
