verse,ar,en,timestamps
105:1, أَلَمْ تَرَ كَيْفَ فَعَلَ رَبُّكَ,"Have you not considered, [O Muhammad], how your Lord dealt",0:00.410
,بِأَصْحَـٰبِ ٱلْفِيلِ,with the companions of the elephant?,0:03.546
105:2,أَلَمْ يَجْعَلْ كَيْدَهُمْ فِى تَضْلِيلٍ,Did He not make their plan into misguidance?,0:07.749
105:3,وَأَرْسَلَ عَلَيْهِمْ طَيْرًا أَبَابِيلَ,"And He sent against them birds in flocks,",0:14.256
105:4,تَرْمِيهِم بِحِجَارَةٍ مِّن سِجِّيلٍ,"Striking them with stones of hard clay,",0:20.500
105:5,فَجَعَلَهُمْ كَعَصْفٍ مَّأْكُولٍۭ,And He made them like eaten straw.,0:28.752
,,,0:35.335
