Name	Start	Duration	Time Format	Type	Description
Marker 01	0:00.072	0:00.000	decimal	Cue	
CD Track 01	0:04.120	0:00.000	decimal	Track	
CD Track 02	0:07.813	0:00.000	decimal	Track	
CD Track 03	0:11.706	0:00.000	decimal	Track	
CD Track 04	0:13.826	0:00.000	decimal	Track	
Marker 02	0:20.000	0:00.000	decimal	Cue	
