verse,ar,en,timestamps
2:185,شَهْرُ رَمَضَانَ ٱلَّذِىٓ أُنزِلَ فِيهِ ٱلْقُرْءَانُ,"The month of Ramadan [is that] in which was revealed the Qur'an,",0:00.100
,هُدًى لِّلنَّاسِ,a guidance for the people,0:07.133
,وَبَيِّنَـٰتٍ مِّنَ ٱلْهُدَىٰ وَٱلْفُرْقَانِ ۚ,and clear proofs of guidance and criterion.,0:08.746
,فَمَن شَهِدَ مِنكُمُ ٱلشَّهْرَ,"So whoever sights [the crescent of] the month,",0:15.253
,فَلْيَصُمْهُ ۖ,let him fast it;,0:19.093
,وَمَن كَانَ مَرِيضًا أَوْ عَلَىٰ سَفَرٍ,and whoever is ill or on a journey -,0:20.333
,فَعِدَّةٌ مِّنْ أَيَّامٍ أُخَرَ ۗ,then an equal number of other days.,0:24.906
,يُرِيدُ ٱللَّهُ بِكُمُ ٱلْيُسْرَ,Allah intends for you ease,0:28.653
,وَلَا يُرِيدُ بِكُمُ ٱلْعُسْرَ,and does not intend for you hardship,0:31.453
,وَلِتُكْمِلُوا ٱلْعِدَّةَ,and [wants] for you to complete the period,0:34.346
,وَلِتُكَبِّرُوا ٱللَّهَ عَلَىٰ مَا هَدَىٰكُمْ,and to glorify Allah for that [to] which He has guided you;,0:36.226
,وَلَعَلَّكُمْ تَشْكُرُونَ,and perhaps you will be grateful.,0:39.933
,,,0:43.890
