verse,ar,en,timestamps
57:14,يُنَادُونَهُمْ أَلَمْ نَكُن مَّعَكُمْ ۖ,"They [i.e., the hypocrites] will call to them [i.e., the believers], ""Were we not with you?""",0:00.581
,قَالُوا بَلَىٰ,"They will say, ""Yes,",0:05.080
,قَالُوا بَلَىٰ,"They will say, ""Yes,",0:07.506
,وَلَـٰكِنَّكُمْ فَتَنتُمْ أَنفُسَكُمْ,but you afflicted yourselves,0:09.146
,فَتَنتُمْ أَنفُسَكُمْ,you afflicted yourselves,0:15.946
,وَتَرَبَّصْتُمْ وَٱرْتَبْتُمْ,"and awaited [misfortune for us] and doubted,",0:19.160
,وَغَرَّتْكُمُ ٱلْأَمَانِىُّ حَتَّىٰ جَآءَ أَمْرُ ٱللَّهِ,and wishful thinking deluded you until there came the command of Allah.,0:22.946
,وَغَرَّكُم بِٱللَّهِ ٱلْغَرُورُ,"And the Deceiver [i.e., Satan] deceived you concerning Allah.",0:32.240
,,,0:39.743
