verse,ar,en,timestamps
4:75,وَمَا لَكُمْ لَا تُقَتِلُونَ فِى سَبِيلِ اللَّهِ,And what is [the matter] with you that you fight not in the cause of Allah,0:13.879
,وَمَا لَكُمْ لَا تُقَتِلُونَ فِى سَبِيلِ اللَّهِ,And what is [the matter] with you that you fight not in the cause of Allah,0:21.320
,وَالْمُسْتَضْعَفِينَ,and [for] the oppressed,0:27.306
,مِنَ الرِّجَالِ وَالنِّسَاءِ وَالْوِلْدَنِ,"among men, women, and children",0:28.800
,الَّذِينَ يَقُولُونَ,"who say,",0:33.186
,الَّذِينَ يَقُولُونَ,"who say,",0:35.733
,رَبَّنَا,"""Our Lord,",0:37.800
,أَخْرِجْنَا,take us out,0:41.413
,الَّذِينَ يَقُولُونَ,"who say,",0:42.946
,رَبَّنَا,"""Our Lord,",0:44.960
,أَخْرِجْنَا مِنْ هَذِهِ الْقَرْيَةِ,take us out of this city,0:47.026
,الظَّالِمِ أَهْلُهَا,of oppressive people,0:50.133
,وَاجْعَل لَّنَا مِن لَّدُنكَ وَلِيًّا,and appoint for us from Yourself a protector,0:52.320
,وَاجْعَل لَّنَا مِن لَّدُنكَ نَصِيرًا,"and appoint for us from Yourself a helper""?",0:55.773
4:76,الَّذِينَ ءَامَنُوا,Those who believe,1:00.066
,يُقَتِلُونَ فِى سَبِيلِ اللَّهِ,"fight in the cause of Allah,",1:01.840
,وَالَّذِينَ كَفَرُوا,and those who disbelieve,1:05.613
,يُقَتِلُونَ فِى سَبِيلِ الطَّغُوتِ,fight in the cause of taghut.,1:07.146
,فَقَتِلُوا أَوْلِيَاءَ الشَّيْطَنِ,So fight against the allies of Satan.,1:11.146
,إِنَّ كَيْدَ الشَّيْطَنِ كَانَ ضَعِيفًا,"Indeed, the plot of Satan has ever been weak.",1:17.253
,,,1:21.243
