verse,ar,en,timestamps
4:122,وَالَّذِينَ ءَامَنُوا وَعَمِلُوا الصَّلِحَتِ,But the ones who believe and do righteous deeds -,0:00.081
,سَنُدْخِلُهُمْ,We will admit them,0:03.693
,سَنُدْخِلُهُمْ جَنَّتٍ,We will admit them to gardens,0:05.600
,سَنُدْخِلُهُمْ جَنَّتٍ,We will admit them to gardens,0:11.520
,تَجْرِى مِن تَحْتِهَا الْأَنْهَرُ,"beneath which rivers flow,",0:14.733
,تَجْرِى مِن تَحْتِهَا الْأَنْهَرُ,"beneath which rivers flow,",0:19.666
,خَلِدِينَ فِيهَا أَبَدًا,wherein they will abide forever.,0:23.053
,وَالَّذِينَ ءَامَنُوا وَعَمِلُوا الصَّلِحَتِ,But the ones who believe and do righteous deeds -,0:26.653
,سَنُدْخِلُهُمْ جَنَّتٍ,We will admit them to gardens,0:30.573
,سَنُدْخِلُهُمْ جَنَّتٍ,We will admit them to gardens,0:34.880
,تَجْرِى مِن تَحْتِهَا الْأَنْهَرُ,"beneath which rivers flow,",0:37.880
,تَجْرِى مِن تَحْتِهَا الْأَنْهَرُ,"beneath which rivers flow,",0:42.973
,خَلِدِينَ فِيهَا أَبَدًا,wherein they will abide forever.,0:46.373
,وَعْدَ اللَّهِ حَقًّا,"[It is] the promise of Allah, [which is] truth,",0:49.920
,وَعْدَ اللَّهِ حَقًّا,"[It is] the promise of Allah, [which is] truth,",0:52.586
,وَمَنْ أَصْدَقُ مِنَ اللَّهِ قِيلًا,and who is more truthful than Allah in statement.,0:55.506
4:123,لَّيْسَ بِأَمَانِيِّكُمْ,"It [i.e., Paradise] is not [obtained] by your wishful thinking",0:59.573
,وَلَا أَمَانِىِّ أَهْلِ الْكِتَبِ,nor by that of the People of the Scripture.,1:01.880
,لَّيْسَ بِأَمَانِيِّكُمْ,"It [i.e., Paradise] is not [obtained] by your wishful thinking",1:07.146
,وَلَا أَمَانِىِّ أَهْلِ الْكِتَبِ,nor by that of the People of the Scripture.,1:09.413
,مَن يَعْمَلْ سُوءًا يُجْزَ بِهِ,"Whoever does a wrong will be recompensed for it,",1:14.213
,وَلَا يَجِدْ لَهُ مِن دُونِ اللَّهِ,and he will not find besides Allah,1:19.146
,وَلِيًّا وَلَا نَصِيرًا,a protector or a helper.,1:23.306
,,,1:26.686
