verse,ar,en,nl,timestamps
49:10,إِنَّمَا الْمُؤْمِنُونَ إِخْوَةٌ,"The believers are but brothers,","Voorwaar, de gelovigen zijn elkaars broeders,",0:00.000
,فَأَصْلِحُوا بَيْنَ أَخَوَيْكُمْ,so make settlement between your brothers.,sticht daarom vrede tussen jouw broeders.,0:04.608
,وَاتَّقُوا اللَّهَ لَعَلَّكُمْ تُرْحَمُونَ,And fear Allah that you may receive mercy.,En vreest Allah. Hopelijk zullen jullie begenadigd worden.,0:08.646
,,,,0:15.098
