verse,ar,en,timestamps
33:69,يَـٰٓأَيُّهَا ٱلَّذِينَ ءَامَنُوا,"O you who have believed,",2:28.987
,لَا تَكُونُوا كَٱلَّذِينَ ءَاذَوْا مُوسَىٰ,be not like those who abused Moses;,2:31.880
,فَبَرَّأَهُ ٱللَّهُ مِمَّا قَالُوا ۚ,then Allah cleared him of what they said.,2:36.106
,وَكَانَ عِندَ ٱللَّهِ وَجِيهًا,"And he, in the sight of Allah, was distinguished.",2:40.160
33:70,يَـٰٓأَيُّهَا ٱلَّذِينَ ءَامَنُوا,"O you who have believed,",2:43.916
,ٱتَّقُوا ٱللَّهَ وَقُولُوا قَوْلًا سَدِيدًا,fear Allah and speak words of appropriate justice.,2:46.746
33:71,يُصْلِحْ لَكُمْ أَعْمَـٰلَكُمْ,He will [then] amend for you your deeds,2:51.760
,وَيَغْفِرْ لَكُمْ ذُنُوبَكُمْ ۗ,and forgive you your sins.,2:54.946
,وَمَن يُطِعِ ٱللَّهَ وَرَسُولَهُۥ,And whoever obeys Allah and His Messenger,2:58.093
,فَقَدْ فَازَ فَوْزًا عَظِيمًا,has certainly attained a great attainment.,3:01.493
33:72,إِنَّا عَرَضْنَا ٱلْأَمَانَةَ عَلَى ٱلسَّمَـٰوَٰتِ,"Indeed, We offered the Trust to the heavens",3:05.153
,وَٱلْأَرْضِ وَٱلْجِبَالِ,"and the earth and the mountains,",3:09.840
,فَأَبَيْنَ أَن يَحْمِلْنَهَا,and they declined to bear it,3:12.093
,فَأَبَيْنَ أَن يَحْمِلْنَهَا وَأَشْفَقْنَ مِنْهَا,and they declined to bear it and feared it;,3:15.973
,وَحَمَلَهَا ٱلْإِنسَـٰنُ ۖ,but man [undertook to] bear it.,3:21.066
,إِنَّهُۥ كَانَ ظَلُومًا جَهُولًا,"Indeed, he was unjust and ignorant.",3:24.053
33:73,لِّيُعَذِّبَ ٱللَّهُ ٱلْمُنَـٰفِقِينَ وَٱلْمُنَـٰفِقَـٰتِ,[It was] so that Allah may punish the hypocrite men and hypocrite women,3:29.709
,وَٱلْمُشْرِكِينَ وَٱلْمُشْرِكَـٰتِ,and the men and women who associate others with Him,3:34.666
,وَيَتُوبَ ٱللَّهُ عَلَى ٱلْمُؤْمِنِينَ وَٱلْمُؤْمِنَـٰتِ ۗ,and that Allah may accept repentance from the believing men and believing women.,3:37.653
,وَيَتُوبَ ٱللَّهُ عَلَى ٱلْمُؤْمِنِينَ وَٱلْمُؤْمِنَـٰتِ ۗ,and that Allah may accept repentance from the believing men and believing women.,3:45.160
,وَكَانَ ٱللَّهُ غَفُورًا رَّحِيمًۢا,And ever is Allah Forgiving and Merciful.,3:51.760
,,,3:58.000
