ar
كَلَّا بَلْ تُحِبُّونَ ٱلْعَاجِلَةَ
وَتَذَرُونَ ٱلْـَٔاخِرَةَ
وُجُوهٌ يَوْمَئِذٍ نَّاضِرَةٌ
إِلَىٰ رَبِّهَا نَاظِرَةٌ
وَوُجُوهٌ يَوْمَئِذٍۭ بَاسِرَةٌ
تَظُنُّ أَن يُفْعَلَ بِهَا فَاقِرَةٌ
كَلَّآ إِذَا بَلَغَتِ ٱلتَّرَاقِىَ
وَقِيلَ مَنْ ۜ رَاقٍ
