ar
هَلَكَ عَنِّى سُلْطَـٰنِيَهْ
خُذُوهُ فَغُلُّوهُ
ثُمَّ ٱلْجَحِيمَ صَلُّوهُ
ثُمَّ فِى سِلْسِلَةٍ ذَرْعُهَا سَبْعُونَ ذِرَاعًا فَٱسْلُكُوهُ
إِنَّهُۥ كَانَ لَا يُؤْمِنُ بِٱللَّهِ ٱلْعَظِيمِ
