verse,ar,en,timestamps
3:135,وَالَّذِينَ إِذَا فَعَلُوا فَحِشَةً أَوْ ظَلَمُوا,"And those who, when they commit an immorality or wrong",0:00.212
,أَوْ ظَلَمُوا أَنفُسَهُمْ,"or wrong themselves [by transgression],",0:05.786
,ذَكَرُوا اللَّهَ,remember Allah,0:08.346
,ذَكَرُوا اللَّهَ فَاسْتَغْفَرُوا لِذُنُوبِهِمْ,remember Allah and seek forgiveness for their sins -,0:12.333
,وَمَن يَغْفِرُ الذُّنُوبَ إِلَّا اللَّهُ,and who can forgive sins except Allah?,0:16.306
,وَمَن,and who,0:23.026
,وَمَن يَغْفِرُ الذُّنُوبَ إِلَّا اللَّهُ,and who can forgive sins except Allah? -,0:24.253
,وَلَمْ يُصِرُّوا عَلَى مَا فَعَلُوا وَهُمْ يَعْلَمُونَ,and [who] do not persist in what they have done while they know.,0:29.320
3:136,أُولَئِكَ,Those -,0:36.559
,جَزَاؤُهُم مَّغْفِرَةٌ مِّن رَّبِّهِمْ,their reward is forgiveness from their Lord,0:38.786
,وَجَنَّتٌ,and gardens,0:44.413
,وَجَنَّتٌ تَجْرِى مِن تَحْتِهَا الْأَنْهَرُ,"and gardens beneath which rivers flow [in Paradise],",0:47.693
,خَلِدِينَ فِيهَا,wherein they will abide eternally;,0:53.493
,وَنِعْمَ أَجْرُ الْعَمِلِينَ,and excellent is the reward of the [righteous] workers.,0:56.280
,وَنِعْمَ أَجْرُ الْعَمِلِينَ,and excellent is the reward of the [righteous] workers.,1:01.693
,,,1:08.015
